1625, 6765009
1632, 2914328
1809, 2916240
1816, 6518742
1823, 6425633
1830, 6248564
1847, 6509779
1854, 6509776
1878, 6509773
1885, 6509775
1892, 6694280
1908, 2916241
1915, 6694291
1922, 6694293
1939, 6243395
1953, 6606899
1991, 6282728
2028, 3561850
2073, 3491620
2103, 2949127
2110, 2949199
2127, 6278405
2134, 6278409
2141, 6278415
2158, 6278411
2172, 3490020
2226, 3489520
2233, 3490780
2240, 3490870
2288, 6278412
2387, 3490790
2394, 3489820
2400, 3491600
2417, 3489430
2424, 3489530
2431, 3491610
2448, 3491210
2455, 2406690
2554, 6584981
2783, 6304049
2790, 6639204
2820, 2919822
2837, 2919943
2905, 6346726
3018, 8771100
3032, 8771110
3049, 2919990
3063, 2924178
3070, 2920172
3179, 2920023
3216, 3448580
3308, 2919247
3353, 8701930
3360, 2929566
3377, 6380150
3568, 2210583
3605, 6303499
3629, 6560912
3704, 2867768
3759, 3563960
4053, 6335136
4077, 6335133
4084, 6335148
4091, 6335151
4107, 6335153
4275, 6694277
4282, 6694271
4312, 6613458
4329, 6613465
4336, 6613467
5067, 6251897
5074, 6251903
5098, 6251879
5111, 6694278
5241, 6251870
5401, 6514585
5432, 6514096
6019, 2886583
6026, 2886572
6033, 2932274
6040, 2932271
6057, 2886567
6064, 2949380
6071, 2875585
6101, 2887361
6118, 6336068
6200, 6383628
6460, 8423280
6484, 5188440
6507, 2241395
6606, 2234867
6637, 2008849
6705, 2234868
6750, 2210582
6804, 2234869
6880, 6540132
6903, 2234871
7078, 6307744
7085, 2848346
7092, 6307736
7108, 6282711
7122, 6249319
7139, 6249327
7146, 6249332
7153, 6753549
7269, 6753557
7276, 6753558
7283, 6403641
7290, 6579780
7306, 2979551
7313, 7305112
7320, 6289688
7665, 6671050
7689, 8721200
7832, 6401531
8105, 6340205
8303, 6252418
8402, 6252421
8723, 2954732
9003, 6734994
9102, 6571637
9119, 6571644
9188, 7305118
11112, 6540066
57813, 2916190
57820, 2916191
422802, 2884380
20000004, 20000000
20000011, 20000001
20000035, 20000003
20000059, 20000005
20000073, 20000007
20000097, 20000009
20000110, 20000011
20000158, 20000015
20000172, 20000017
20000196, 20000019
20000219, 20000021
20000233, 20000023
20000257, 20000025
20000264, 20000026
20000271, 20000027
20000295, 20000029
20000301, 20000030
20000325, 20000032
20000332, 20000033
20000356, 20000035
20000363, 20000036
20000370, 20000037
20000387, 20000038
20000394, 20000039
20000431, 20000043
20000455, 20000045
20000462, 20000046
20000479, 20000047
20000493, 20000049
20000516, 20000051
20000523, 20000052
20000530, 20000053
20000547, 20000054
20000578, 20000057
20000592, 20000059
20000615, 20000061
20000639, 20000063
20000660, 20000066
20000677, 20000067
20000691, 20000069
20000714, 20000071
20000738, 20000073
20000752, 20000075
20000776, 20000077
20000806, 20000080
20000813, 20000081
20000837, 20000083
20000851, 20000085
20000882, 20000088
20000912, 20000091
20000936, 20000093
20000943, 20000094
20000967, 20000096
20001087, 20000108
20001094, 20000109
20001100, 20000110
20001131, 20000113
20001162, 20000116
20001179, 20000117
20001186, 20000118
20001193, 20000119
20001216, 20000121
20001223, 20000122
20001230, 20000123
20001254, 20000125
20001261, 20000126
20001278, 20000127
20001308, 20000130
20001315, 20000131
20001322, 20000132
20001339, 20000133
20001353, 20000135
20001360, 20000136
20001377, 20000137
20001391, 20000139
20001407, 20000140
20001414, 20000141
20001483, 20000148
20001704, 20000170
20001728, 20000172
20001742, 20000174
20001766, 20000176
20001780, 20000178
20001797, 20000179
20001803, 20000180
20001810, 20000181
20001827, 20000182
20001834, 20000183
20001841, 20000184
20001858, 20000185
20001865, 20000186
20001872, 20000187
20001889, 20000188
20001896, 20000189
20001902, 20000190
20001919, 20000191
20001926, 20000192
20001933, 20000193
20001940, 20000194
20001957, 20000195
20001964, 20000196
20001988, 20000198
20001995, 20000199
20002008, 20000200
20002022, 20000202
20002039, 20000203
20002046, 20000204
20002053, 20000205
20002060, 20000206
20002077, 20000207
20002084, 20000208
20002091, 20000209
20002107, 20000210
20002121, 20000212
20002145, 20000214
20002169, 20000216
20002183, 20000218
20002206, 20000220
20002213, 20000221
20002220, 20000222
20002244, 20000224
20002268, 20000226
20002282, 20000228
20002305, 20000230
20002329, 20000232
20002343, 20000234
20002367, 20000236
20002381, 20000238
20002404, 20000240
20002428, 20000242
20002442, 20000244
20002466, 20000246
20002480, 20000248
20002503, 20000250
20002527, 20000252
20002541, 20000254
20002565, 20000256
20002589, 20000258
20002602, 20000260
20002626, 20000262
20002640, 20000264
20002664, 20000266
20002688, 20000268
20002701, 20000270
